Year,Manufacturer,Fuel Type,Number of vehicles,OBFCM Fuel consumption (l/100 km),WLTP Fuel consumption (l/100 km),absolute gap Fuel consumption (l/100 km),percentage gap Fuel consumption (%),OBFCM CO2 emissions (g/km),WLTP CO2 emissions (g/km),absolute gap CO2 emissions (g/km),percentage gap CO2 emissions (%),OBFCM Fuel consumption weighted (l/100 km),WLTP Fuel consumption weighted (l/100 km),absolute gap Fuel consumption weighted (l/100 km),percentage gap Fuel consumption weighted (%),OBFCM CO2 emissions weighted (g/km),WLTP CO2 emissions weighted (g/km),absolute gap CO2 emissions weighted (g/km),percentage gap CO2 emissions weighted (%)
2022,ALFA ROMEO,PETROL,10953,8.88,7.01,1.87,26.65,202.26,159.7,42.55,26.65,8.79,7.09,1.7,23.96,200.25,161.55,38.7,23.96
2023,SKODA,PETROL/ELECTRIC,917,5.84,1.23,4.61,374.43,132.94,28.02,104.92,374.43,5.96,1.24,4.72,382.3,135.72,28.14,107.58,382.3
2022,SUBARU,PETROL,307,8.66,8.22,0.44,5.4,197.37,187.25,10.11,5.4,8.62,8.26,0.37,4.47,196.46,188.05,8.41,4.47
2021,TOYOTA,DIESEL,2411,7.45,6.56,0.89,13.51,196.04,172.7,23.33,13.51,7.35,6.46,0.89,13.78,193.38,169.95,23.43,13.78
2022,KIA SLOVAKIA,PETROL,28828,7.2,6.19,1.01,16.25,164,141.08,22.92,16.25,7.09,6.14,0.95,15.47,161.49,139.86,21.63,15.47
2021,MAZDA,PETROL,13036,7.4,6.53,0.87,13.29,168.54,148.76,19.78,13.29,7.43,6.73,0.7,10.47,169.26,153.22,16.04,10.47
2022,BENTLEY,DIESEL,1,9.07,12.92,-3.85,-29.8,238.67,340,-101.33,-29.8,9.07,12.92,-3.85,-29.8,238.67,340,-101.33,-29.8
2022,MITSUBISHI MOTORS THAILAND,PETROL,428,5.86,5.11,0.75,14.69,133.57,116.47,17.11,14.69,5.72,5.11,0.61,11.97,130.3,116.37,13.93,11.97
2023,RENAULT,DIESEL,39931,6.09,5.05,1.04,20.61,160.34,132.94,27.4,20.61,5.98,5.05,0.94,18.58,157.42,132.75,24.66,18.58
2023,KIA,PETROL/ELECTRIC,172,5.23,1.29,3.94,306.23,119.08,29.31,89.77,306.23,5.36,1.31,4.05,309.61,122.12,29.81,92.31,309.61
2021,HYUNDAI CZECH,DIESEL,128,5.02,4.98,0.04,0.77,132.07,131.07,1,0.77,5.15,4.97,0.19,3.77,135.58,130.65,4.93,3.77
2022,HYUNDAI CZECH,DIESEL,43,5.98,5.15,0.82,15.99,157.31,135.63,21.68,15.99,6.03,5.13,0.9,17.56,158.7,134.99,23.71,17.56
2022,DACIA,PETROL,48804,6.93,5.57,1.36,24.4,157.95,126.97,30.98,24.4,6.78,5.57,1.21,21.65,154.35,126.88,27.47,21.65
2023,FORD WERKE GMBH,PETROL/ELECTRIC,14359,4.55,1.1,3.45,313.15,103.57,25.07,78.5,313.15,4.83,1.13,3.7,327.4,109.93,25.72,84.21,327.4
